	supersense_category	text
1164	noun.location	SydneyBulletin
1166	noun.act	issuance
1168	verb.cognition	giveover
1169	noun.act	inquiry
1171	noun.group	Cthulhucult
1172	noun.location	Paterson
1173	noun.person	curator
1174	noun.person	mineralogist
1176	noun.cognition	specimen
1178	noun.group	SydneyBulletin
1179	noun.cognition	affiliation
1182	verb.change	clearing
1183	verb.emotion	disappoint
1185	noun.act	quest
1186	noun.location	mysteryderelict
1187	noun.location	seavigilantarrive
1188	noun.location	NewZealand
1189	noun.location	tow
1190	noun.person	survivor
1191	noun.person	deadMan
1192	noun.person	DesperateBattle
1193	noun.location	death
1195	noun.person	seamanrefuseparticular
1196	noun.location	MorrisonCo.
1197	verb.motion	bind
1198	noun.location	Valparaiso
1199	noun.artifact	wharf
1200	noun.location	DarlingHarbour
1201	verb.motion	tow
1202	noun.artifact	steamyacht
1203	noun.location	alert
1204	noun.location	Dunedin
1205	noun.location	N.Z.
1206	verb.motion	sight
1208	noun.location	S.Latitude
1209	noun.location	°
1210	noun.location	W.Longitude
1212	noun.person	vigilant
1216	noun.event	monster
1218	noun.person	derelict
1219	verb.perception	sight
1220	verb.motion	boarding
1221	verb.stative	contain
1224	noun.quantity	foot
1225	noun.artifact	authority
1226	noun.group	SydneyUniversity
1227	noun.group	RoyalSociety
1228	noun.group	Museum
1229	noun.location	CollegeStreet
1230	verb.communication	profess
1231	noun.communication	bafflement
1233	noun.artifact	shrine
1234	verb.possession	recover
1235	noun.act	piracy
1236	noun.act	slaughter
1237	noun.person	GustafJohansen
1238	noun.person	norwegian
1239	noun.artifact	schooner
1240	noun.location	auckland
1241	noun.location	Callao
1243	noun.group	complement
1244	noun.person	Emma
1249	verb.motion	encounter
1251	noun.person	kanaka
1253	verb.motion	turnback
1254	noun.person	Capt
1255	noun.person	collin
1257	noun.artifact	cannon
1260	verb.stative	shew
1264	noun.location	waterline
1265	verb.contact	heavealongside
1266	verb.contact	grapple
1267	noun.act	fight
1268	noun.quantity	three
1272	noun.person	FirstMateGreen
1273	noun.person	SecondMateJohansen
1274	verb.motion	proceed
1275	verb.motion	navigate
1276	verb.motion	goahead
1277	noun.act	order
1279	noun.location	part
1280	noun.person	Johansen
1281	noun.object	chasm
1282	verb.contact	beat
1283	noun.event	storm
1285	noun.act	rescue
1286	verb.perception	remember
1287	noun.person	WilliamBriden
1288	noun.person	Briden
1289	verb.perception	reveal
1290	noun.event	cause
1291	noun.attribute	exposure
1292	noun.communication	cable
1293	verb.communication	advice
1295	noun.person	alert
1296	noun.person	trader
1299	verb.motion	setsail
1305	noun.person	correspondent
1308	noun.group	admiralty
1309	verb.creation	institute
